"idade","sexo","dependentes","escolaridade","estado_civil","salario_anual","tipo_cartao","qtd_produtos","iteracoes_12m","meses_inativo_12m","limite_credito","valor_transacoes_12m","qtd_transacoes_12m"
"45","M","3","ensino medio","casado","$60K - $80K","blue","5","3","1","12691.51","1144.9","42"
"49","F","5","mestrado","solteiro","menos que $40K","blue","6","2","1","8256.96","1291.45","33"
"51","M","3","mestrado","casado","$80K - $120K","blue","4","0","1","3418.56","1887.72","20"
"40","F","4","ensino medio","na","menos que $40K","blue","3","1","4","3313.03","1171.56","20"
"40","M","3","sem educacao formal","casado","$60K - $80K","blue","5","0","1","4716.22","816.08","28"
"44","M","2","mestrado","casado","$40K - $60K","blue","3","2","1","4010.69","1088.07","24"
"51","M","4","na","casado","$120K +","gold","6","3","1","34516.72","1330.87","31"
"32","M","0","ensino medio","na","$60K - $80K","silver","2","2","2","29081.49","1538.32","36"
"37","M","3","sem educacao formal","solteiro","$60K - $80K","blue","5","0","2","22352.5","1350.14","24"
"48","M","2","mestrado","solteiro","$80K - $120K","blue","6","3","3","11656.41","1441.73","32"
